,text,predicted_davinci
202, I`ve heard this fall. I`m waiting too!,neutral
203, more nightmares?  *huggles*,neutral
204,I AM SUCH A CREEPER  I feel disappointed because of it. **** my cyberstalking skills   the internet = no more privacy.,negative.
205,going to bed its late and I have headache,negative
206,happy mother`s day to all moms out there...,positive
207,Grabbing coffee from  then making mom breakfast,positive
208,im thinking that im going to have fun tonight....and maybe some changes are coming,positive
209, thanks. before the major chop.,neutral
210," Haha I know, I cant handle the fame!  and thank you!",positive.
211,just got up and updated my ipod,positive
212, yes! sober HAHAHA tanghaling tapat dude! haha WILD. i don`t knowwww  plan plan  before you go to US!,neutral
213, We never miss ICarly - my son has a huge crush on Miranda,positive
214,Saw James carville in the store today. His head is really that bald,neutral
215,yellow for   ? http://blip.fm/~5z05g,neutral
216, which means you`re just going to have to come back to vancouver and have it our way! hahah,positive
217,Feeling smooth like chrome,positive
218,Ew traffic,negative
219,"downloading songs while trying to sneak a lil homework in too, which should be my main priority not songs lol",neutral.
220,@_Ra_Ra_ your not alone...i need coffee too.,positive
221, Sounds like me,neutral
222,Bad day  The day you realize what mess you`ve put me through will be one of the happiest days of my life...,negative
223,Walking to class. I hate not having a bike....especially mine.,negative
224,_nesmith,neutral
225,"failed inspection. Did you know you can pass wo/oven, but not wo/anti-tip bracket, which is only sold w/oven? This is worse than taxes.",negative
226,"JONAS BROTHERS - Live to party.                It`s rocking so hard     I love the song,",positive
227,happy mother`s day to all the mothers in the world.,positive
228,"35mins through the 1hr 20mins Google Wave demo, that looks a lot of fun, would love to test it though.  http://bit.ly/WnMSc",positive
229,Sleepy Tabz is heading to bed.  Fun night! Listened through the next episode of Joss`d!,positive
230,The exception for a short dude: Larenz fineass Tate yum,positive.
231,"Screw the reviews, I thought Wolverine was awesome. But not enough Dominic Monaghan for my liking.",positive
232,"If you followed us recently, PLEASE dont be offended that we haven`t followed back. We hit our limit.   Hopefully we will be free soon.",positive
233, Yes i work 6 to 3...,neutral
234," Hmmm, maybe that`s what they meant. They eluded to something brand new but you know how the media is",neutral
235,Done at the spa   now meeting vic for some late lunch!,positive
236,Happy monday  up and about going to tavares today. Hope everyone has a blessed day!,positive
237, Always have wanted to go to Oz,positive
238, Thx,positive
239, http://twitpic.com/4jaz5 - Cool... luv it,positive
240,  that`s why I need to be there...To represent the Blackberries,positive
241,Okay so I`m dedicating my 300th tweet to the fact that I`m going to the Apple store because there is a HUGE crack on the glass screen!,positive
242, If only we could ever actually be allowed to stay here and do that,neutral
243, Let me know how that turns out!!,positive
244, was that sass I detect?  As long as it isn`t back sass! Haha,positive
245," yeah I was thinking about that ,ahaha",positive
246, Sports Bar Shatranjanpoli Rest Ph 26498457 All Sports Bar Andheri W 26733333 Dont know whether that helps. Google ki jai ho,neutral
247,I`m not sleeping at all until  accepts my appology,negative
248,"Wolverine Was BOSS! Seriously, And Will.I.Am Was In It, What The **** ??",positive
249," I live for pain, bring it on",negative
250,"okay, i`m out for a while  back later!",positive
251,  #powerblog What is this powerblog challenge you keep talking about?  I`m a newbie follower,neutral
252,almost died. Laptop screen was set to 100% brightness after I reinstalled Windows Vista. Got a headache now  #insanedefaults,negative
253,Waiting for tish to get off. Got to drive my moms CRV to pick her up all my myself and duckie. First time,neutral
254,"Trying to decide on a movie with the friends.. not going to well! lol :p  No bible study 2nite, which means ****-day cake  buy my own??",neutral.
255,going to shower because i don`t want to smell at school tomorrow,neutral
256, Sigh... you know I am...,neutral
257,"discovered cause of a bug in the new #NetPLAYER 4 build. Publishing bug fix now, hopefully new beta by tomorrow",positive
258,Here are 4 FREE twitter tools will get you followers  http://short.to/511q http://jijr.com/hulz http://short.to/511r http://2ve.org/xPG0/,positive
259,just got home from work.... and is chugging down a big bottle of apple juice.,positive
260, Yes it does. Please dont` go. If you die I will cry.. which normally leads to small animals getting harmed,negative
261,writing report cards  soooo tired but what an amazing day. check it out on fb soon!,positive
262, it was only once for my big brother...and I`m done now,neutral
263,good news: finally finished my #EASactive workout that has been paused for 6 hours. bad news: my resistance band is torn,positive
264,"Well good morning all, What a wonderful day in the neighborhood  Thanks for all those that are now following another 60 this morning",positive
265,FTSK and Mercy Mercedes were amazing tonight.. as always,positive
266,  hope he is ok!,positive
267,can`t school just be done already? it hurts too much... seeing him every day,negative
268,"I waited, listening to wind blowing through the tumbleweed? Are none of you old enough to know what to do when someone says 'Crackerack'?",neutral
269, Hell Yeah!,positive.
270, HIM shirt at dinner? Do you need to ask??  Does it actually have Ville on it?,neutral
271, i know!!,positive
272, huh what the ****? Smelly? Noooo. I love alex Vixon,negative
273,"Went to a party last night. Dindin and I showed up in matching outfits ) GREAT MINDS THINK ALIKE ) Anyway, happy birthday, ate lara",positive
274," Happy b-day! Just woke up on this side of Earth, so wishes are bit late",positive
275,"thank you for teaching me values and to be a better person each day  I LOVE SO MUCH, YOU`RE THE BEST MUM IN THE WORLD",positive
276,HAPPY MOTHERS DAY.!,positive
277," *laughs* I`m glad that you have self confidence - it`s a wonderful trait to have  I`ll applaud extra loud for it, okay?",positive
278,  Thanks,positive
279,twittering after 2 days!,positive
280,Getting ready for week  Its too nice today to be stuck inside working!,positive
281,I am tres depressed,negative
282,"Felt like ****, behaved like my son; ate to compensate. Pigged out on home-roasted sugar almonds. Painful tum, threw up, still feel sick.",negative
283,Happy Mothers Day people. i love my mom a lot still,positive
284, I`m sorry to hear that.,neutral
285," That`s awesome dude, yay for surprise celebrities!  I got to meet him a few years ago, he was soooo friendly.",positive
286," it makes me happy to hear a girl talk, or tweet, about the nba. but... could you give my nuggets some love?!",positive
287,Is getting the hang of Twitter.,positive
288,You know your neck is jacked up when you are forced to pay for parking bc you can`t turn you head to parallel park in the free spaces...,negative
289,I want it BACK NOW!: http://bit.ly/PP1WZ,negative
290,Going to miss my roomie ... We will no longer be roomies starting tomorrow,neutral
291,"bathing with two little angels, Keyla and Janice.",positive
292," Yep, finished, chocked full of spelling and grammatical errors, but I`m cleaning it up tomorrow and popping it up  hehe",positive
293, HAHAHHA lol true that! i always remember my BD but i can never remember what date or even day it is,neutral.
294,"Family is here,hanging with them",positive
295,Watching Ellen Love her!! then doing the dishes  and tanning ...it`s gorgeous out!,positive
296, what`s goin on hun?  I`m worried about you,neutral
297, Im not bannished... but I am at work till 6,neutral
298," Morning! If I get to see it, I`ll let you know. Right now, I`m going to go see Wolverine.",positive
299," red top tabloids, build em up, knock em down",neutral
