,text,predicted_labels,confidence_score,annotation_correct
41,im an avid fan of **** magazine and i love your magazines,positive,1.0,1
42,MAYDAY?!,neutral,1.0,1
43,"RATT ROCKED NASHVILLE TONITE..ONE THING SUCKED, NO ENCORE!  LIKE IN THE 80`S THEY STILL HAVE A FUN SHOW. PEARCY HAS THAT HOTT BAD BOY LOOK",positive,1.0,0
44, I love to! But I`m only available from 5pm.  and where dear? Would love to help  convert her vids.ÃÂ¯ÃÂ¿ÃÂ½,positive,1.0,1
45,The girl in the hair salon asked me 'Shall I trim your eyebrows!' How old do I feel?,neutral,1.0,1
46,egh blah and boooooooooooo i dunno wanna go to work  HANGOVERS SUCKKKKKK Im a drunk mess!,negative,1.0,1
47,:visiting my friendster and facebook,neutral,1.0,1
48,"i donbt like to peel prawns, i also dont like going shopping, running out of money and crawling round the car looking for more",negative,1.0,1
49, which case? I got a new one last week and I`m not thrilled at all with mine.,negative,1.0,1
50, Then you should check out http://twittersucks.com and connect with other tweeple who hate twitter,negative,1.0,0
51," also bored at school, its my third freelesson( freistunde )",negative,1.0,0
52, hm... Both of us I guess...,neutral,1.0,1
53, it is ****...u have dissappointed me that past few days,negative,1.0,1
54, romance zero is funny,positive,1.0,1
55, I`d rather do the early run..but I am a morning runner,positive,1.0,0
56,Bah a coworker ran into work late and her bag smacked into my knee  it really hurts now,negative,1.0,1
57,will be back later.  http://plurk.com/p/rp3k7,neutral,1.0,1
58,Aw. Torn ace of hearts  #Hunchback,neutral,1.0,0
59, what fun are you speaking of?,neutral,1.0,1
60,"i lost all my friends, i`m alone and sleepy..i wanna go home",negative,1.0,1
61, haha yes,positive,1.0,0
62,I give in to easily,negative,1.0,1
63,What better way to spoil mum than to let her kick back and relax over a nice meal and a bottle of her favorite wine? Our wine was a red,positive,1.0,1
64,mannnn..... _ got an iphone!!! im jealous....  http://bit.ly/NgnaR,negative,1.0,1
65,Is at a photoshoot.,neutral,1.0,1
66,  He`s awesome... Have you worked with him before? He`s a good friend.,positive,1.0,1
67,Yay playing a show tonight! Boo it`s gonna soggy and I`m at work right before playing,neutral,1.0,1
68,Chilliin,neutral,1.0,0
69," If you know such agent, do let me know",neutral,1.0,1
70,I still smell of smoke  #kitchenfire,negative,1.0,0
71, a celtics-lakers rematch sounds better don`t you think? lol,positive,1.0,1
72,"Anyone have an extra Keane ticket? I promise to buy you a drink and take rad pics for your FB / Blog / Flickr., etc",positive,1.0,0
73,"'you can ride one, you can catch one, but its not summer til you pop open one'  ?",positive,1.0,0
74, she is good! so gor-juz yea i kno i asked her yesterday when we were at tha hospital if she talked to u and she said no,positive,1.0,0
75,OK - I`m out of here for now. Just popped in to say Hi and check on things. I`ll probably head to the guttah later on tonight,neutral,1.0,1
76,"WOW, i AM REALLY MiSSiN THE FAM(iLY) TODAY. BADDD.",negative,1.0,1
77, My sources say no,neutral,0.6666666666666666,1
78,I am sooo tired,negative,1.0,1
79," Hey, you change your twitter account, and you didn`t even tell me...",negative,1.0,0
80, THANK YYYYYYYYYOOOOOOOOOOUUUUU!,positive,1.0,1
81, lucky kid...i so wanna see loserville  pity im in oz....,negative,0.6666666666666666,0
82,fell asleep waiting for my ride!,negative,1.0,0
83,Sick. With a flu like thing.,negative,1.0,1
84,"Still no reply from  about my SimFinger problem  So no iRape parody video until I get a response, sorry guys",negative,1.0,1
85,Happy Star Wars day everyone! and Enjoy the holiday (UK),positive,1.0,1
86, Miles from you   I`m in Essex so give me plenty of warning so I can arrive in time to get at least one of those free beers.,neutral,1.0,1
87,"His snoring is so annoying n it keeps me from sleeping (like right now, lol) but I honestly wud miss it if it eva left  I love him.",negative,1.0,0
88,i miss you bby      wish you were going tomorrow to make me do good.,positive,1.0,0
89, Well what im working on isn`t QUITE ready to post about publicly (still beta testing) but its a cool new script I coded,positive,1.0,1
90, SWEEEEET - San Fran is awesome!!!!  Love it there,positive,1.0,1
91,_Mounce yes and it lasts way past my bedtime!,positive,1.0,0
92, Hi  how are you doing ???  *just joined twitter...*,neutral,1.0,1
93,waiting for sleeping pills to kick in... gonna be so tired at work tomorrow,negative,1.0,1
94,eating ice cream and then getting ready for graduation.,positive,1.0,0
95,Happy Mothers day to all you Mums out there,positive,1.0,1
96," CASEY`S GONE?!?! BUT WHY?! So, she piddled a little on the carpet. She`s prolly freaked cause it`s new. Can we get her back?",negative,1.0,1
97, hemp cloth is marvelous but unfortunately no,negative,0.6666666666666666,1
98,Gonna read a story bout adam lambert online then bed. Nighty night,positive,0.6666666666666666,0
99, We saw that in none 3D - the baddie`s the best,positive,1.0,1
100,4am. And Im on the beach. Pretty,positive,1.0,1
101," Certainly not Cheers than, huh?",negative,1.0,0
102,"1 week post my'horrible, traumatic jumping cholla accident.'-cholla`s next dirty trick:pieces are starting to emerge from my hand! Ouch!",negative,1.0,1
103,i realy wanted to go out cause its so nice but everybodys busy,negative,1.0,1
104, Awesome.  I`m down in Ocean Beach (if you know where that is.) By the way. 'YourBiggestFan' I`m a re-al big fan of you-rs.,positive,1.0,1
105,at least I get to watch over time  Let`s go Pens!!,positive,1.0,0
106, cool i wear black most of the time when i go out,positive,1.0,0
107, haha I do not know how to work blip apart from the obvious! thanks for reblipping my song  have a nice day ****,positive,1.0,1
108, have a safe trip joshy poo.......you`ll knock them dead at your speech,positive,1.0,1
109," woof, I wish I was allowed to go",negative,0.3333333333333333,0
110,if u have a friendster add me!!!!!!!!!        my email adress      add me  loco_crime_1st.com        add me leave some comment,neutral,1.0,1
111,  has tickets.......?,neutral,1.0,1
112,"Thank you, Afrin Nasal Spray! Also, I got a giant teacup tonight!",positive,1.0,1
113, ACSM. it`s unfathomable.  i think the other one .. and the .. is one that should be kept to the comfort of our bedrooms. yes?,negative,1.0,0
114,"Aww, I love my daddy! He works 7 days a week almost all day and still tries to go to SF with all of us",positive,1.0,1
115,So many tests todayyy  I don`t feel confident about anyy.,negative,1.0,1
116,graduation is done  im a little sad.. anyone want to hang out???,negative,1.0,1
117, hahaa your awesomee !,positive,1.0,1
118,holy smokes! star trek was freaking awesomeeeee,positive,1.0,1
119,"I hate Fallout 3 it keeps making me jump, I`m also low on health, money, ammo and food  don`t worry I`ll get through it.",negative,1.0,0
120," I had it! On my itunes, but then I lost all my songs.",negative,1.0,0
121,What`s with the gloomy weather? The sun must be too tired to come out and play  heading to victoria gardens for some impulse buys haha,negative,1.0,0
122,"Not looking forward to next week: Maths, Geography, English and French exams, totalling 7 hours",negative,1.0,1
123," Poor you  Get outside and sleep in the garden, the sun will do you good. But don`t forget suncream!!!",negative,0.6666666666666666,1
124,not well,negative,1.0,1
125, Not a prob hun,positive,1.0,1
126,"at dads, watching some mtv and am going on sims2 in a minutee",neutral,1.0,1
127, Absolutely,positive,1.0,0
128, what`s the matter chickadee?,neutral,1.0,1
129, hey mia!  totally adore your music.  when will your cd be out?,positive,1.0,1
130,"Shopping. Cleaning. BMFing. Webcam chatting with nephews. Nothing spesh, but a good bank holiday Monday nonetheless",positive,1.0,1
131, =O you need to ask him something? Lmao I love him too,positive,1.0,1
132, those splinters look very painful...but you were being very heroic saving mr. Pickle,positive,1.0,0
133, why are you sad?,negative,1.0,1
134, Nice to see you tweeting!  It`s Sunday 10th May and we`re celebrating Mother`s Day here today. So be nice to yer Mom,positive,1.0,1
135,decided 2 trans frm relaxed 2 natural hair but i wish my whole head looked like my roots.  Age of the instant gratification....,neutral,1.0,0
136, Namaskar & Namaste r both the same. Marathi people say Namaskar! its a marathi word.... should i ? ...naaaah !,neutral,1.0,1
137," Congrats!  I cuss like that in a matter of minutes, But didn`t know until now there is a reward for it.",positive,1.0,0
138,Humous and Dorito`s.... Oh yes,positive,1.0,0
139,"missed all the awesome weather, because she was in a movie!",negative,0.6666666666666666,1
140,Today is going to be a normal day for I hope. We had a group of pilots from a large airline come in last night so it was too much drink,neutral,1.0,1
141,"These kids are terrible! If I was in Good Evans, I`d call Childline",negative,1.0,1
142,"Unfortunatley, AerLingus no longer fly to Copenhagen so we`re have to fly Ryanair to Billund and drive up to Copenhagen one of the days!",negative,1.0,1
143," What`s sad is that I actually had to google that term. That sucks, tho.",negative,1.0,1
144,Hate fighting,negative,1.0,1
145," I watched that too!!! I didnt want her to win, but she put up a good fight..lol",positive,1.0,0
146,Car-warmed Sprite tastes like sore throat,negative,1.0,1
147,Just came 11th in cross country and beat dumbo,positive,1.0,0
148,Candle wax is very enjoyable.,positive,1.0,1
149," She`s unassuming and unpretentious. She`s just, as. I suppose that`s why she`s so endearing--because we can relate to her",positive,1.0,1
150,tomorrow valeria`s lunch!!! going to get my hair done but im arraving late   got my cousins babtizm or whatever you spell it,neutral,1.0,1
151,goooooddd morning tweets!!  week three OF my workout. did i mention i got my new glasses yesterday?!?,positive,1.0,1
152, me too. I hate my computer so much..,negative,1.0,1
153, fine! Going to do my big walk today 20 or so miles,positive,1.0,1
154,I WANT RED CRUISERS!!  i don`t like the other ones. LMFAO!,negative,0.6666666666666666,1
155,Mmmmmmmm... ? it in the morning,neutral,1.0,1
156, me neither,neutral,0.3333333333333333,1
157,"Has about 10 hours work to do, on a Sunday. Boo. I will find time for a two hour lunchbreak though. Yeah",negative,1.0,0
158,Bugger. forgot I still have washing in my machine,negative,1.0,1
159,"_Laurie sending love, blessings & healing thoughts to you & family  peace",positive,1.0,1
160,My back hurts...really bad,negative,1.0,1
161," ah yes, I know that feeling",neutral,0.6666666666666666,1
162,Night of the cookers with my dad,neutral,1.0,1
163,My modem has been offline for a week now... God bless the 3g network. Tim just left... Again!! May schedule has been brutal,negative,1.0,1
164, Nope I am in Coquitlam,neutral,1.0,1
165, Had parent teacher thing yesterday!! So boring going to skl on saturday!!  lol,negative,1.0,1
166,  #lichfield #tweetup sounds like fun  Hope to see you and everyone else there!,positive,1.0,1
167,Big booming thunder storm almost here.  Maybe we can all go home early???  Ah... probably not.,negative,1.0,0
168,Few Bevvies 2day in twn..great on a day off!!,positive,1.0,1
169,first night in myers. just not the same w/out lydia!  but i`m actually excited about this summer!,negative,1.0,0
170, good morning,positive,1.0,1
171, its the best show EVER!,positive,1.0,1
172,URL in previous post (to timer job) should be http://bit.ly/a4Fdb. I`d removed space which messed up URL.  ^ES,negative,0.3333333333333333,1
173,i think iv hurt my tooth  and eilish and cassie are having a drawing competiton to draw cookies and pineapples haha :L .,neutral,1.0,1
174, I want to know when the auditions are Mander! Text or...reply please!,neutral,1.0,1
175,or even NOOOOO NOT THE SECRET NAMEREBECCA PLEASE,negative,1.0,1
176, I miss my neice  can`t wait to see her bad n grown ****! Lol,positive,1.0,0
177,i need to get my computer fixed,neutral,1.0,1
178,really hopes her car`s illness is not terminal...,negative,1.0,1
179,"All the cool people I want to find for following today are #English, and I guess the English don`t tweet.",neutral,1.0,1
180, no sir...i woulda put honey...but i don`t have any,neutral,1.0,1
181,who watched X-men origins: wolverine? i totally loved it! haha,positive,1.0,1
182, I VOTED!!! do u have a personal myspace? i keep talking to fakes   i <3 you. u helped me thru the hrdest time of my life! (: x,positive,1.0,1
183, I`m sad that I missed you guys last night!,negative,1.0,1
184,Finally got a call for marriage counseling 3 days late....,negative,1.0,0
185, ok then,neutral,1.0,1
186,_420 why baby?,neutral,1.0,1
187,today was the last day of high school for me and i ended up going home sick! ... stupid dead rats,negative,1.0,1
188,We`re having an impromptu pool party... Except I don`t know how to swim so I can`t get in,negative,1.0,0
189,lost my tooth 2day whilst i was eating gum...oww,negative,1.0,1
190,happy 1 year! <3,positive,1.0,1
191,"Oh, I HELLA forgot to say my official good morning  Like to hear it? Here it go! Goooooooooooood Morrrrrrrrning Twitterville! Lol",positive,1.0,1
192, *phew*  Will make a note in case anyone else runs into the same issueÃÂ¯ÃÂ¿ÃÂ½,neutral,1.0,1
193,  WHAT ABOUT ME ??  I VOTE EVERY DAY FOR YOU !!!!!,positive,1.0,0
194,I`m starving!! This diet is killing me but I can`t eat after 8pm,negative,1.0,1
195, i talk to you,neutral,1.0,1
196,im soo bored...im deffo missing my music channels,negative,1.0,1
197, nite nite bday girl  have fun at concert,positive,1.0,1
198,"Had nicotine replacement patch on for 4 hours. So far, so good, but I did sleep for most of those 4 hours. Getting a bit twitchy now",negative,1.0,0
199,_Sanderson What`s with Twatter lately?  Either I can`t get on or the replies don`t turn up!,negative,1.0,0
200,should be sleeping.  lost my voice a couple day ago.,negative,1.0,1
201,http://twitpic.com/66xlm -  hate when my PARKED car gets hit,negative,1.0,1
202, I`ve heard this fall. I`m waiting too!,positive,1.0,0
203, more nightmares?  *huggles*,negative,1.0,0
204,I AM SUCH A CREEPER  I feel disappointed because of it. **** my cyberstalking skills   the internet = no more privacy.,negative,1.0,1
205,going to bed its late and I have headache,negative,1.0,1
206,happy mother`s day to all moms out there...,positive,1.0,1
207,Grabbing coffee from  then making mom breakfast,positive,0.3333333333333333,0
208,im thinking that im going to have fun tonight....and maybe some changes are coming,positive,1.0,1
209, thanks. before the major chop.,positive,1.0,0
210," Haha I know, I cant handle the fame!  and thank you!",positive,1.0,1
211,just got up and updated my ipod,neutral,0.6666666666666666,1
212, yes! sober HAHAHA tanghaling tapat dude! haha WILD. i don`t knowwww  plan plan  before you go to US!,positive,0.3333333333333333,1
213, We never miss ICarly - my son has a huge crush on Miranda,positive,1.0,1
214,Saw James carville in the store today. His head is really that bald,negative,0.6666666666666666,0
215,yellow for   ? http://blip.fm/~5z05g,neutral,1.0,1
216, which means you`re just going to have to come back to vancouver and have it our way! hahah,positive,1.0,0
217,Feeling smooth like chrome,positive,1.0,1
218,Ew traffic,negative,1.0,1
219,"downloading songs while trying to sneak a lil homework in too, which should be my main priority not songs lol",neutral,1.0,1
220,@_Ra_Ra_ your not alone...i need coffee too.,negative,1.0,0
221, Sounds like me,positive,0.6666666666666666,0
222,Bad day  The day you realize what mess you`ve put me through will be one of the happiest days of my life...,negative,1.0,0
223,Walking to class. I hate not having a bike....especially mine.,negative,1.0,1
224,_nesmith,neutral,1.0,1
225,"failed inspection. Did you know you can pass wo/oven, but not wo/anti-tip bracket, which is only sold w/oven? This is worse than taxes.",negative,1.0,1
226,"JONAS BROTHERS - Live to party.                It`s rocking so hard     I love the song,",positive,1.0,1
227,happy mother`s day to all the mothers in the world.,positive,1.0,1
228,"35mins through the 1hr 20mins Google Wave demo, that looks a lot of fun, would love to test it though.  http://bit.ly/WnMSc",positive,1.0,1
229,Sleepy Tabz is heading to bed.  Fun night! Listened through the next episode of Joss`d!,positive,1.0,1
230,The exception for a short dude: Larenz fineass Tate yum,positive,1.0,0
231,"Screw the reviews, I thought Wolverine was awesome. But not enough Dominic Monaghan for my liking.",positive,1.0,1
232,"If you followed us recently, PLEASE dont be offended that we haven`t followed back. We hit our limit.   Hopefully we will be free soon.",neutral,1.0,0
233, Yes i work 6 to 3...,neutral,1.0,1
234," Hmmm, maybe that`s what they meant. They eluded to something brand new but you know how the media is",neutral,1.0,1
235,Done at the spa   now meeting vic for some late lunch!,positive,1.0,0
236,Happy monday  up and about going to tavares today. Hope everyone has a blessed day!,positive,1.0,1
237, Always have wanted to go to Oz,positive,1.0,0
238, Thx,positive,1.0,0
239, http://twitpic.com/4jaz5 - Cool... luv it,positive,1.0,1
240,  that`s why I need to be there...To represent the Blackberries,positive,1.0,1
241,Okay so I`m dedicating my 300th tweet to the fact that I`m going to the Apple store because there is a HUGE crack on the glass screen!,negative,1.0,0
242, If only we could ever actually be allowed to stay here and do that,neutral,0.3333333333333333,1
243, Let me know how that turns out!!,positive,1.0,0
244, was that sass I detect?  As long as it isn`t back sass! Haha,negative,0.3333333333333333,0
245," yeah I was thinking about that ,ahaha",positive,1.0,1
246, Sports Bar Shatranjanpoli Rest Ph 26498457 All Sports Bar Andheri W 26733333 Dont know whether that helps. Google ki jai ho,neutral,1.0,1
247,I`m not sleeping at all until  accepts my appology,negative,1.0,1
248,"Wolverine Was BOSS! Seriously, And Will.I.Am Was In It, What The **** ??",positive,1.0,0
249," I live for pain, bring it on",negative,1.0,0
250,"okay, i`m out for a while  back later!",neutral,1.0,1
251,  #powerblog What is this powerblog challenge you keep talking about?  I`m a newbie follower,neutral,1.0,1
252,almost died. Laptop screen was set to 100% brightness after I reinstalled Windows Vista. Got a headache now  #insanedefaults,negative,1.0,0
253,Waiting for tish to get off. Got to drive my moms CRV to pick her up all my myself and duckie. First time,neutral,1.0,1
254,"Trying to decide on a movie with the friends.. not going to well! lol :p  No bible study 2nite, which means ****-day cake  buy my own??",negative,1.0,1
255,going to shower because i don`t want to smell at school tomorrow,negative,1.0,0
256, Sigh... you know I am...,negative,0.6666666666666666,0
257,"discovered cause of a bug in the new #NetPLAYER 4 build. Publishing bug fix now, hopefully new beta by tomorrow",positive,1.0,1
258,Here are 4 FREE twitter tools will get you followers  http://short.to/511q http://jijr.com/hulz http://short.to/511r http://2ve.org/xPG0/,neutral,1.0,1
259,just got home from work.... and is chugging down a big bottle of apple juice.,positive,1.0,0
260, Yes it does. Please dont` go. If you die I will cry.. which normally leads to small animals getting harmed,negative,1.0,1
261,writing report cards  soooo tired but what an amazing day. check it out on fb soon!,positive,1.0,1
262, it was only once for my big brother...and I`m done now,neutral,0.6666666666666666,1
263,good news: finally finished my #EASactive workout that has been paused for 6 hours. bad news: my resistance band is torn,positive,1.0,0
264,"Well good morning all, What a wonderful day in the neighborhood  Thanks for all those that are now following another 60 this morning",positive,1.0,1
265,FTSK and Mercy Mercedes were amazing tonight.. as always,positive,1.0,1
266,  hope he is ok!,positive,1.0,1
267,can`t school just be done already? it hurts too much... seeing him every day,negative,1.0,0
268,"I waited, listening to wind blowing through the tumbleweed? Are none of you old enough to know what to do when someone says 'Crackerack'?",neutral,1.0,1
269, Hell Yeah!,positive,1.0,0
270, HIM shirt at dinner? Do you need to ask??  Does it actually have Ville on it?,neutral,1.0,1
271, i know!!,positive,0.3333333333333333,0
272, huh what the ****? Smelly? Noooo. I love alex Vixon,negative,1.0,0
273,"Went to a party last night. Dindin and I showed up in matching outfits ) GREAT MINDS THINK ALIKE ) Anyway, happy birthday, ate lara",positive,1.0,1
274," Happy b-day! Just woke up on this side of Earth, so wishes are bit late",positive,1.0,1
275,"thank you for teaching me values and to be a better person each day  I LOVE SO MUCH, YOU`RE THE BEST MUM IN THE WORLD",positive,1.0,1
276,HAPPY MOTHERS DAY.!,positive,1.0,1
277," *laughs* I`m glad that you have self confidence - it`s a wonderful trait to have  I`ll applaud extra loud for it, okay?",positive,1.0,1
278,  Thanks,positive,1.0,1
279,twittering after 2 days!,positive,1.0,0
280,Getting ready for week  Its too nice today to be stuck inside working!,positive,1.0,1
281,I am tres depressed,negative,1.0,1
282,"Felt like ****, behaved like my son; ate to compensate. Pigged out on home-roasted sugar almonds. Painful tum, threw up, still feel sick.",negative,1.0,1
283,Happy Mothers Day people. i love my mom a lot still,positive,1.0,1
284, I`m sorry to hear that.,negative,1.0,1
285," That`s awesome dude, yay for surprise celebrities!  I got to meet him a few years ago, he was soooo friendly.",positive,1.0,1
286," it makes me happy to hear a girl talk, or tweet, about the nba. but... could you give my nuggets some love?!",positive,1.0,1
287,Is getting the hang of Twitter.,positive,1.0,0
288,You know your neck is jacked up when you are forced to pay for parking bc you can`t turn you head to parallel park in the free spaces...,negative,1.0,1
289,I want it BACK NOW!: http://bit.ly/PP1WZ,negative,1.0,0
290,Going to miss my roomie ... We will no longer be roomies starting tomorrow,negative,1.0,1
291,"bathing with two little angels, Keyla and Janice.",positive,1.0,0
292," Yep, finished, chocked full of spelling and grammatical errors, but I`m cleaning it up tomorrow and popping it up  hehe",negative,1.0,1
293, HAHAHHA lol true that! i always remember my BD but i can never remember what date or even day it is,positive,1.0,0
294,"Family is here,hanging with them",positive,1.0,0
295,Watching Ellen Love her!! then doing the dishes  and tanning ...it`s gorgeous out!,positive,1.0,1
296, what`s goin on hun?  I`m worried about you,neutral,0.3333333333333333,0
297, Im not bannished... but I am at work till 6,neutral,1.0,0
298," Morning! If I get to see it, I`ll let you know. Right now, I`m going to go see Wolverine.",neutral,1.0,1
299," red top tabloids, build em up, knock em down",negative,1.0,0
300,tonight in party w/ my girls (minus vita),positive,1.0,1
301,  why not now you made me sad I thought you`d be jumping for joy,negative,1.0,0
302, Simple my a#@,negative,1.0,0
303,"The pics I just uploaded are the baby pics of my cats. Missy is now an adult and a pretty little kitty, but Batty is in kitten heaven now",neutral,1.0,1
304," I saw the play of it here, it was amazing",positive,1.0,1
305, _ i am glad to break my twitter virginity with you two.,positive,1.0,1
306,Dinner with the fam... I have missed them,positive,1.0,0
307,"_Live That`s what I want. More the better. Bound to be a few bad eggs though, but they will soon learn.",positive,1.0,0
308,Hell yeah Kellynn got a Twitter. Finally.,positive,1.0,0
309," I know   It was worth a shot, though!",positive,1.0,1
310,"Just opened a facebook account, I`m a little confused I don`t really get it. Twitter seems much better",negative,1.0,0
311,Ship. I`m stuck.,negative,1.0,1
312,DUSTBIN BABY ON AT 11.30 Cannot wait  x,neutral,0.3333333333333333,0
313," Not going to dwell on it. It happened, it`s passed. Just a shame as he was so supportive! Such is life!  x",positive,1.0,0
314,,neutral,1.0,1
315,It looks like the office TV DOES get MLB Network... and it looks like MLBN will NOT be televising the DET/BAL game today  #wieters,neutral,1.0,1
316,Home empty handed.  No comics found today.  I shall now indulge in my cupcakes from Magnolia Bakery.,neutral,1.0,1
317,Laying in bed til workkk... Oh the life. Definitely pinched a nerve.,negative,1.0,1
318,today is a busy day. exhausting!,negative,1.0,1
319," I was going to go on Sunday, but now I`ve got too much going on that weekend",negative,1.0,0
320, Sorry to hear ur flight got cancelled  that blows!!!,negative,1.0,1
321,ohh my tooth is hurts ohh  im sad it very hurts,negative,1.0,1
322,"Before I get too distracted, I`d like to thank my new followers for taking the trouble to follow me! And to my others: feelin the love",positive,1.0,1
323, u think u have bills Ha!Ii just finished paying mine that`s y I`m broke,negative,1.0,1
324, Not sure it didn`t say it was 2 big. I jst saw the pics of u on ur last bday. You looked so pretty!! I miss you!!,positive,1.0,0
325,sore throat. Planning the TET outing to Marwell though...good times,neutral,1.0,1
326,mcfly gig last nightt omg it was amazin didnt sit down through the whole thing  mcfly did you see me and ma best mate we were in tutus,positive,1.0,1
327,2 days without sleep and now a migraine. I thought life postR01 was meant to be relaxing,negative,1.0,1
328, There!,neutral,1.0,1
329,?sucks!?..,negative,1.0,1
330, whens the sway sway winner announced?,neutral,1.0,1
331, K will check it out...,neutral,1.0,1
332," doing pretty well, up and wide awake",positive,1.0,1
333,"i want to wake up early, and get a coffee tomorrow (today) !  it`s going to be a busyy day! but have to keep writing.. booo whoo!",positive,1.0,0
334,I Miss Daddy and Mommy,positive,1.0,0
335,"My dog is officially depressed that my brother`s dogs are gone. He doesn`t want to go outside and when we did, he play half-heartedly.",negative,1.0,1
336,I just realized that I can`t forward text msgs with my iPhone.,negative,1.0,0
337,"My frist post... Off to find a new car for my parents, exciting!",positive,1.0,1
338,Argh noo! Missed The Killers on Wossy!  That sucks! Missed out on Brandon. Total failure! Anyone know if it`s repeated? Must investigate!,negative,1.0,1
339,seriously bored without anyone to talk to... but not tired enough for sleep,negative,1.0,1
340, I am lost. Please help me find a good home.,negative,1.0,1
341,"It`s a Peter & Gordon morning  -> And I, go to pieces and I wanna hide / Go to pieces and I almost die / Ever... ? http://blip.fm/~5yk38",neutral,1.0,1
342,Ok so I`ve now got a bit of a bad back after lifting all drum hardware into my car   downer.,negative,1.0,1
343, LMAO... Smh!  that one threw me off.,negative,1.0,0
344, oh nice going!,positive,1.0,1
345,Is getting ready for work... Working all weekend,negative,0.6666666666666666,0
346,Gonna celebrate Mothers Day with the family but gonna start the partying tonite,positive,1.0,1
347, i agree with you!,positive,1.0,1
348, I only do computers. Am hopeless at everything else,negative,1.0,1
349,"90 degrees, gross skies, and thunderstorms...perfect match for my mood  lol",negative,1.0,0
350,_2nd aww thanks!,positive,1.0,1
351, Sorry RB is on PS3 for me,neutral,1.0,0
352,I saw amazing heeels. But they were too big,neutral,0.6666666666666666,1
353,I just stuck my finger down my throat and there are a bunch of bumps on my tongue & throat.,negative,1.0,1
354,dang last url went down  ? http://blip.fm/~7aigm,neutral,1.0,0
355," ohoh i missed all ur tweets  im gonna have to stay awake all night to see the announcement now, **** time difference",negative,1.0,1
356, Damnit all. That sucks.  You were one of the ones I thought I`d drag back lol,negative,1.0,1
357, my boss. She`s moving to NYC,neutral,1.0,1
358,this is sooo crazy i have fever..,negative,1.0,1
359,is spending her Saturday morning taking notes for a research essay because some stupid **** recalled the book I`m using. Not fair,negative,1.0,1
360,I think i need some new friends,negative,1.0,0
361, Looking forward to your gig in Ireland!!!  See ya there!,positive,1.0,0
