,text,predicted_label
69," If you know such agent, do let me know",1
70,I still smell of smoke  #kitchenfire,1
71, a celtics-lakers rematch sounds better don`t you think? lol,1
72,"Anyone have an extra Keane ticket? I promise to buy you a drink and take rad pics for your FB / Blog / Flickr., etc",1
73,"'you can ride one, you can catch one, but its not summer til you pop open one'  ?",1
74, she is good! so gor-juz yea i kno i asked her yesterday when we were at tha hospital if she talked to u and she said no,1
75,OK - I`m out of here for now. Just popped in to say Hi and check on things. I`ll probably head to the guttah later on tonight,1
76,"WOW, i AM REALLY MiSSiN THE FAM(iLY) TODAY. BADDD.",1
77, My sources say no,1
78,I am sooo tired,"1 for positive, 0 for neutral,"
79," Hey, you change your twitter account, and you didn`t even tell me...",positive
80, THANK YYYYYYYYYOOOOOOOOOOUUUUU!,1
81, lucky kid...i so wanna see loserville  pity im in oz....,"1, 2"
82,fell asleep waiting for my ride!,"1 for positive, 0 for neutral,"
83,Sick. With a flu like thing.,1
84,"Still no reply from  about my SimFinger problem  So no iRape parody video until I get a response, sorry guys",1
85,Happy Star Wars day everyone! and Enjoy the holiday (UK),1
86, Miles from you   I`m in Essex so give me plenty of warning so I can arrive in time to get at least one of those free beers.,1
87,"His snoring is so annoying n it keeps me from sleeping (like right now, lol) but I honestly wud miss it if it eva left  I love him.",1
88,i miss you bby      wish you were going tomorrow to make me do good.,1
89, Well what im working on isn`t QUITE ready to post about publicly (still beta testing) but its a cool new script I coded,the sentiment of this text is positive.
90, SWEEEEET - San Fran is awesome!!!!  Love it there,1
91,_Mounce yes and it lasts way past my bedtime!,"1 for positive, 0 for neutral,"
92, Hi  how are you doing ???  *just joined twitter...*,positive
93,waiting for sleeping pills to kick in... gonna be so tired at work tomorrow,1
94,eating ice cream and then getting ready for graduation.,1
95,Happy Mothers day to all you Mums out there,1
96," CASEY`S GONE?!?! BUT WHY?! So, she piddled a little on the carpet. She`s prolly freaked cause it`s new. Can we get her back?","1 for positive, 0 for neutral,"
97, hemp cloth is marvelous but unfortunately no,"1 for positive, 0 for neutral,"
98,Gonna read a story bout adam lambert online then bed. Nighty night,1
99, We saw that in none 3D - the baddie`s the best,1
100,4am. And Im on the beach. Pretty,"1 for positive, 0 for neutral,"
101," Certainly not Cheers than, huh?",1
102,"1 week post my'horrible, traumatic jumping cholla accident.'-cholla`s next dirty trick:pieces are starting to emerge from my hand! Ouch!","1 week post my'horrible,"
103,i realy wanted to go out cause its so nice but everybodys busy,1
104, Awesome.  I`m down in Ocean Beach (if you know where that is.) By the way. 'YourBiggestFan' I`m a re-al big fan of you-rs.,1
105,at least I get to watch over time  Let`s go Pens!!,1: at least i get to watch
106, cool i wear black most of the time when i go out,1
107, haha I do not know how to work blip apart from the obvious! thanks for reblipping my song  have a nice day ****,1
108, have a safe trip joshy poo.......you`ll knock them dead at your speech,"1 for positive, 0 for neutral,"
109," woof, I wish I was allowed to go","1 for positive, 0 for neutral,"
110,if u have a friendster add me!!!!!!!!!        my email adress      add me  loco_crime_1st.com        add me leave some comment,1
111,  has tickets.......?,1
112,"Thank you, Afrin Nasal Spray! Also, I got a giant teacup tonight!",positive
113, ACSM. it`s unfathomable.  i think the other one .. and the .. is one that should be kept to the comfort of our bedrooms. yes?,the sentiment in this text is negative.
114,"Aww, I love my daddy! He works 7 days a week almost all day and still tries to go to SF with all of us",1
115,So many tests todayyy  I don`t feel confident about anyy.,1
116,graduation is done  im a little sad.. anyone want to hang out???,1
117, hahaa your awesomee !,1
118,holy smokes! star trek was freaking awesomeeeee,positive
119,"I hate Fallout 3 it keeps making me jump, I`m also low on health, money, ammo and food  don`t worry I`ll get through it.",1
120," I had it! On my itunes, but then I lost all my songs.",positive
121,What`s with the gloomy weather? The sun must be too tired to come out and play  heading to victoria gardens for some impulse buys haha,1
122,"Not looking forward to next week: Maths, Geography, English and French exams, totalling 7 hours",1
123," Poor you  Get outside and sleep in the garden, the sun will do you good. But don`t forget suncream!!!",1
124,not well,"1 for positive, 0 for neutral,"
125, Not a prob hun,1
126,"at dads, watching some mtv and am going on sims2 in a minutee",1
127, Absolutely,"positive: 1

 negative:"
128, what`s the matter chickadee?,"1 for positive, 0 for neutral,"
129, hey mia!  totally adore your music.  when will your cd be out?,1
130,"Shopping. Cleaning. BMFing. Webcam chatting with nephews. Nothing spesh, but a good bank holiday Monday nonetheless",1
131, =O you need to ask him something? Lmao I love him too,1
132, those splinters look very painful...but you were being very heroic saving mr. Pickle,1
133, why are you sad?,"1: positive
2: neutral"
134, Nice to see you tweeting!  It`s Sunday 10th May and we`re celebrating Mother`s Day here today. So be nice to yer Mom,1
135,decided 2 trans frm relaxed 2 natural hair but i wish my whole head looked like my roots.  Age of the instant gratification....,"1 for positive, 0 for neutral,"
136, Namaskar & Namaste r both the same. Marathi people say Namaskar! its a marathi word.... should i ? ...naaaah !,"1 for positive, 0 for neutral,"
137," Congrats!  I cuss like that in a matter of minutes, But didn`t know until now there is a reward for it.",1
138,Humous and Dorito`s.... Oh yes,1
139,"missed all the awesome weather, because she was in a movie!",1
140,Today is going to be a normal day for I hope. We had a group of pilots from a large airline come in last night so it was too much drink,1
141,"These kids are terrible! If I was in Good Evans, I`d call Childline",1
142,"Unfortunatley, AerLingus no longer fly to Copenhagen so we`re have to fly Ryanair to Billund and drive up to Copenhagen one of the days!",1
143," What`s sad is that I actually had to google that term. That sucks, tho.",1
144,Hate fighting,"1 for positive, 0 for neutral,"
145," I watched that too!!! I didnt want her to win, but she put up a good fight..lol",1
146,Car-warmed Sprite tastes like sore throat,1
147,Just came 11th in cross country and beat dumbo,1
148,Candle wax is very enjoyable.,1
149," She`s unassuming and unpretentious. She`s just, as. I suppose that`s why she`s so endearing--because we can relate to her",1
150,tomorrow valeria`s lunch!!! going to get my hair done but im arraving late   got my cousins babtizm or whatever you spell it,1
151,goooooddd morning tweets!!  week three OF my workout. did i mention i got my new glasses yesterday?!?,1
152, me too. I hate my computer so much..,1
153, fine! Going to do my big walk today 20 or so miles,1: positive
154,I WANT RED CRUISERS!!  i don`t like the other ones. LMFAO!,1
155,Mmmmmmmm... ? it in the morning,1
156, me neither,"1 for positive, 0 for neutral,"
157,"Has about 10 hours work to do, on a Sunday. Boo. I will find time for a two hour lunchbreak though. Yeah",the sentiment in this text is negative.
158,Bugger. forgot I still have washing in my machine,"1 for positive, 0 for neutral,"
159,"_Laurie sending love, blessings & healing thoughts to you & family  peace",1
160,My back hurts...really bad,1
161," ah yes, I know that feeling",1
162,Night of the cookers with my dad,1
163,My modem has been offline for a week now... God bless the 3g network. Tim just left... Again!! May schedule has been brutal,the sentiment in this text is negative.
164, Nope I am in Coquitlam,1
165, Had parent teacher thing yesterday!! So boring going to skl on saturday!!  lol,1
166,  #lichfield #tweetup sounds like fun  Hope to see you and everyone else there!,positive
167,Big booming thunder storm almost here.  Maybe we can all go home early???  Ah... probably not.,1
168,Few Bevvies 2day in twn..great on a day off!!,1
169,first night in myers. just not the same w/out lydia!  but i`m actually excited about this summer!,"1 for positive, 0 for neutral,"
170, good morning,"1: good morning

2:"
171, its the best show EVER!,1
172,URL in previous post (to timer job) should be http://bit.ly/a4Fdb. I`d removed space which messed up URL.  ^ES,the sentiment in this text is positive.
173,i think iv hurt my tooth  and eilish and cassie are having a drawing competiton to draw cookies and pineapples haha :L .,1
174, I want to know when the auditions are Mander! Text or...reply please!,1
175,or even NOOOOO NOT THE SECRET NAMEREBECCA PLEASE,1
176, I miss my neice  can`t wait to see her bad n grown ****! Lol,1
177,i need to get my computer fixed,"1 for positive, 0 for neutral,"
178,really hopes her car`s illness is not terminal...,1
179,"All the cool people I want to find for following today are #English, and I guess the English don`t tweet.",1
180, no sir...i woulda put honey...but i don`t have any,1
181,who watched X-men origins: wolverine? i totally loved it! haha,1
182, I VOTED!!! do u have a personal myspace? i keep talking to fakes   i <3 you. u helped me thru the hrdest time of my life! (: x,1
183, I`m sad that I missed you guys last night!,1
184,Finally got a call for marriage counseling 3 days late....,1
185, ok then,"1 for positive, 0 for neutral,"
186,_420 why baby?,"1 for positive, 0 for neutral,"
187,today was the last day of high school for me and i ended up going home sick! ... stupid dead rats,1
188,We`re having an impromptu pool party... Except I don`t know how to swim so I can`t get in,positive
189,lost my tooth 2day whilst i was eating gum...oww,1
190,happy 1 year! <3,"1 for positive, 0 for neutral,"
191,"Oh, I HELLA forgot to say my official good morning  Like to hear it? Here it go! Goooooooooooood Morrrrrrrrning Twitterville! Lol",1
192, *phew*  Will make a note in case anyone else runs into the same issueÃÂ¯ÃÂ¿ÃÂ½,1
193,  WHAT ABOUT ME ??  I VOTE EVERY DAY FOR YOU !!!!!,1
194,I`m starving!! This diet is killing me but I can`t eat after 8pm,1
195, i talk to you,"1 for positive, 0 for neutral,"
196,im soo bored...im deffo missing my music channels,1
197, nite nite bday girl  have fun at concert,1
198,"Had nicotine replacement patch on for 4 hours. So far, so good, but I did sleep for most of those 4 hours. Getting a bit twitchy now",1
199,_Sanderson What`s with Twatter lately?  Either I can`t get on or the replies don`t turn up!,1
200,should be sleeping.  lost my voice a couple day ago.,positive
201,http://twitpic.com/66xlm -  hate when my PARKED car gets hit,1
202, I`ve heard this fall. I`m waiting too!,1
203, more nightmares?  *huggles*,1
204,I AM SUCH A CREEPER  I feel disappointed because of it. **** my cyberstalking skills   the internet = no more privacy.,1
205,going to bed its late and I have headache,"1 for positive, 0 for neutral,"
206,happy mother`s day to all moms out there...,1
207,Grabbing coffee from  then making mom breakfast,"1 for positive, 0 for neutral,"
208,im thinking that im going to have fun tonight....and maybe some changes are coming,1
209, thanks. before the major chop.,1
210," Haha I know, I cant handle the fame!  and thank you!",1
211,just got up and updated my ipod,"positive: 1

positive"
212, yes! sober HAHAHA tanghaling tapat dude! haha WILD. i don`t knowwww  plan plan  before you go to US!,1
213, We never miss ICarly - my son has a huge crush on Miranda,1
214,Saw James carville in the store today. His head is really that bald,1
215,yellow for   ? http://blip.fm/~5z05g,1
216, which means you`re just going to have to come back to vancouver and have it our way! hahah,1
217,Feeling smooth like chrome,"1 for positive, 0 for neutral,"
218,Ew traffic,1: positive
219,"downloading songs while trying to sneak a lil homework in too, which should be my main priority not songs lol",1
220,@_Ra_Ra_ your not alone...i need coffee too.,1
221, Sounds like me,1
222,Bad day  The day you realize what mess you`ve put me through will be one of the happiest days of my life...,the day you realize what mess you`
223,Walking to class. I hate not having a bike....especially mine.,1
224,_nesmith,"1 for positive, 0 for neutral,"
225,"failed inspection. Did you know you can pass wo/oven, but not wo/anti-tip bracket, which is only sold w/oven? This is worse than taxes.",the sentiment in this text is negative.
226,"JONAS BROTHERS - Live to party.                It`s rocking so hard     I love the song,",1
227,happy mother`s day to all the mothers in the world.,1
228,"35mins through the 1hr 20mins Google Wave demo, that looks a lot of fun, would love to test it though.  http://bit.ly/WnMSc",the sentiment in this text is positive.
229,Sleepy Tabz is heading to bed.  Fun night! Listened through the next episode of Joss`d!,1
230,The exception for a short dude: Larenz fineass Tate yum,the sentiment in this text is positive.
231,"Screw the reviews, I thought Wolverine was awesome. But not enough Dominic Monaghan for my liking.",1
232,"If you followed us recently, PLEASE dont be offended that we haven`t followed back. We hit our limit.   Hopefully we will be free soon.",positive
233, Yes i work 6 to 3...,1
234," Hmmm, maybe that`s what they meant. They eluded to something brand new but you know how the media is",1
235,Done at the spa   now meeting vic for some late lunch!,1
236,Happy monday  up and about going to tavares today. Hope everyone has a blessed day!,1
237, Always have wanted to go to Oz,"1 for positive, 0 for neutral,"
238, Thx,"1 for positive, 0 for neutral,"
239, http://twitpic.com/4jaz5 - Cool... luv it,1
240,  that`s why I need to be there...To represent the Blackberries,"1, 2, that's why i"
241,Okay so I`m dedicating my 300th tweet to the fact that I`m going to the Apple store because there is a HUGE crack on the glass screen!,1
242, If only we could ever actually be allowed to stay here and do that,positive
243, Let me know how that turns out!!,1
244, was that sass I detect?  As long as it isn`t back sass! Haha,1
245," yeah I was thinking about that ,ahaha",1
246, Sports Bar Shatranjanpoli Rest Ph 26498457 All Sports Bar Andheri W 26733333 Dont know whether that helps. Google ki jai ho,"1 for positive, 0 for neutral,"
247,I`m not sleeping at all until  accepts my appology,1
248,"Wolverine Was BOSS! Seriously, And Will.I.Am Was In It, What The **** ??",1
249," I live for pain, bring it on",1
250,"okay, i`m out for a while  back later!",1
251,  #powerblog What is this powerblog challenge you keep talking about?  I`m a newbie follower,1
252,almost died. Laptop screen was set to 100% brightness after I reinstalled Windows Vista. Got a headache now  #insanedefaults,"1 for positive, 0 for neutral,"
253,Waiting for tish to get off. Got to drive my moms CRV to pick her up all my myself and duckie. First time,1
254,"Trying to decide on a movie with the friends.. not going to well! lol :p  No bible study 2nite, which means ****-day cake  buy my own??",1: attempts to decide on a movie
255,going to shower because i don`t want to smell at school tomorrow,1
256, Sigh... you know I am...,"1 for positive, 0 for neutral,"
257,"discovered cause of a bug in the new #NetPLAYER 4 build. Publishing bug fix now, hopefully new beta by tomorrow","1 for positive, 0 for neutral,"
258,Here are 4 FREE twitter tools will get you followers  http://short.to/511q http://jijr.com/hulz http://short.to/511r http://2ve.org/xPG0/,the sentiment in this text is positive.
259,just got home from work.... and is chugging down a big bottle of apple juice.,"positive: 1

 neutral:"
260, Yes it does. Please dont` go. If you die I will cry.. which normally leads to small animals getting harmed,1
261,writing report cards  soooo tired but what an amazing day. check it out on fb soon!,the sentiment in this text is positive.
262, it was only once for my big brother...and I`m done now,1
263,good news: finally finished my #EASactive workout that has been paused for 6 hours. bad news: my resistance band is torn,1
264,"Well good morning all, What a wonderful day in the neighborhood  Thanks for all those that are now following another 60 this morning",1
265,FTSK and Mercy Mercedes were amazing tonight.. as always,1
266,  hope he is ok!,1
267,can`t school just be done already? it hurts too much... seeing him every day,1
268,"I waited, listening to wind blowing through the tumbleweed? Are none of you old enough to know what to do when someone says 'Crackerack'?",1
269, Hell Yeah!,1
270, HIM shirt at dinner? Do you need to ask??  Does it actually have Ville on it?,1
271, i know!!,"positive: 1

 neutral:"
272, huh what the ****? Smelly? Noooo. I love alex Vixon,1
273,"Went to a party last night. Dindin and I showed up in matching outfits ) GREAT MINDS THINK ALIKE ) Anyway, happy birthday, ate lara",1
274," Happy b-day! Just woke up on this side of Earth, so wishes are bit late",1
275,"thank you for teaching me values and to be a better person each day  I LOVE SO MUCH, YOU`RE THE BEST MUM IN THE WORLD",1
276,HAPPY MOTHERS DAY.!,1
277," *laughs* I`m glad that you have self confidence - it`s a wonderful trait to have  I`ll applaud extra loud for it, okay?",1
278,  Thanks,1
279,twittering after 2 days!,"1 for positive, 0 for neutral,"
280,Getting ready for week  Its too nice today to be stuck inside working!,positive
281,I am tres depressed,"1 for positive, 0 for neutral,"
282,"Felt like ****, behaved like my son; ate to compensate. Pigged out on home-roasted sugar almonds. Painful tum, threw up, still feel sick.",1
283,Happy Mothers Day people. i love my mom a lot still,1
284, I`m sorry to hear that.,1
285," That`s awesome dude, yay for surprise celebrities!  I got to meet him a few years ago, he was soooo friendly.",1
286," it makes me happy to hear a girl talk, or tweet, about the nba. but... could you give my nuggets some love?!",1
287,Is getting the hang of Twitter.,1 is positive.
288,You know your neck is jacked up when you are forced to pay for parking bc you can`t turn you head to parallel park in the free spaces...,1
289,I want it BACK NOW!: http://bit.ly/PP1WZ,1
290,Going to miss my roomie ... We will no longer be roomies starting tomorrow,"1 for positive, 0 for neutral,"
291,"bathing with two little angels, Keyla and Janice.",1
292," Yep, finished, chocked full of spelling and grammatical errors, but I`m cleaning it up tomorrow and popping it up  hehe",1
293, HAHAHHA lol true that! i always remember my BD but i can never remember what date or even day it is,1
294,"Family is here,hanging with them","1 for positive, 0 for neutral,"
295,Watching Ellen Love her!! then doing the dishes  and tanning ...it`s gorgeous out!,1
296, what`s goin on hun?  I`m worried about you,"1 for positive, 0 for neutral,"
297, Im not bannished... but I am at work till 6,1
298," Morning! If I get to see it, I`ll let you know. Right now, I`m going to go see Wolverine.",1
299," red top tabloids, build em up, knock em down",1
300,tonight in party w/ my girls (minus vita),"1 for positive, 0 for neutral,"
301,  why not now you made me sad I thought you`d be jumping for joy,1
302, Simple my a#@,positive: 1
303,"The pics I just uploaded are the baby pics of my cats. Missy is now an adult and a pretty little kitty, but Batty is in kitten heaven now",the sentiment in this text is positive.
304," I saw the play of it here, it was amazing",positive
305, _ i am glad to break my twitter virginity with you two.,1
306,Dinner with the fam... I have missed them,1
307,"_Live That`s what I want. More the better. Bound to be a few bad eggs though, but they will soon learn.",1
308,Hell yeah Kellynn got a Twitter. Finally.,1
309," I know   It was worth a shot, though!",1
310,"Just opened a facebook account, I`m a little confused I don`t really get it. Twitter seems much better",1
311,Ship. I`m stuck.,"positive: 1

noun"
312,DUSTBIN BABY ON AT 11.30 Cannot wait  x,1
313," Not going to dwell on it. It happened, it`s passed. Just a shame as he was so supportive! Such is life!  x",1
314,,"1 for positive, 0 for neutral,"
315,It looks like the office TV DOES get MLB Network... and it looks like MLBN will NOT be televising the DET/BAL game today  #wieters,1
316,Home empty handed.  No comics found today.  I shall now indulge in my cupcakes from Magnolia Bakery.,1
317,Laying in bed til workkk... Oh the life. Definitely pinched a nerve.,1
318,today is a busy day. exhausting!,1
319," I was going to go on Sunday, but now I`ve got too much going on that weekend",positive: i was going to go
320, Sorry to hear ur flight got cancelled  that blows!!!,1
321,ohh my tooth is hurts ohh  im sad it very hurts,1
322,"Before I get too distracted, I`d like to thank my new followers for taking the trouble to follow me! And to my others: feelin the love",1
323, u think u have bills Ha!Ii just finished paying mine that`s y I`m broke,"1 for positive, 0 for neutral,"
324, Not sure it didn`t say it was 2 big. I jst saw the pics of u on ur last bday. You looked so pretty!! I miss you!!,1
325,sore throat. Planning the TET outing to Marwell though...good times,"1 for positive, 0 for neutral,"
326,mcfly gig last nightt omg it was amazin didnt sit down through the whole thing  mcfly did you see me and ma best mate we were in tutus,1
327,2 days without sleep and now a migraine. I thought life postR01 was meant to be relaxing,1
328, There!,1
329,?sucks!?..,"1 for positive, 0 for neutral,"
330, whens the sway sway winner announced?,the text has a positive sentiment.
331, K will check it out...,"1 for positive, 0 for neutral,"
332," doing pretty well, up and wide awake","1 for positive, 0 for neutral,"
333,"i want to wake up early, and get a coffee tomorrow (today) !  it`s going to be a busyy day! but have to keep writing.. booo whoo!","1 for positive, 0 for neutral,"
334,I Miss Daddy and Mommy,1
335,"My dog is officially depressed that my brother`s dogs are gone. He doesn`t want to go outside and when we did, he play half-heartedly.",1
336,I just realized that I can`t forward text msgs with my iPhone.,positive: i just realized that i
337,"My frist post... Off to find a new car for my parents, exciting!",1
338,Argh noo! Missed The Killers on Wossy!  That sucks! Missed out on Brandon. Total failure! Anyone know if it`s repeated? Must investigate!,1
339,seriously bored without anyone to talk to... but not tired enough for sleep,1
340, I am lost. Please help me find a good home.,positive
341,"It`s a Peter & Gordon morning  -> And I, go to pieces and I wanna hide / Go to pieces and I almost die / Ever... ? http://blip.fm/~5yk38",1
342,Ok so I`ve now got a bit of a bad back after lifting all drum hardware into my car   downer.,1
343, LMAO... Smh!  that one threw me off.,1
344, oh nice going!,1
345,Is getting ready for work... Working all weekend,"1 is positive, 0 is negative."
346,Gonna celebrate Mothers Day with the family but gonna start the partying tonite,1
347, i agree with you!,1
348, I only do computers. Am hopeless at everything else,1
349,"90 degrees, gross skies, and thunderstorms...perfect match for my mood  lol","1 for positive, 0 for neutral,"
350,_2nd aww thanks!,1
351, Sorry RB is on PS3 for me,1
352,I saw amazing heeels. But they were too big,1
353,I just stuck my finger down my throat and there are a bunch of bumps on my tongue & throat.,positive
354,dang last url went down  ? http://blip.fm/~7aigm,"1 for positive, 0 for neutral,"
355," ohoh i missed all ur tweets  im gonna have to stay awake all night to see the announcement now, **** time difference",1
356, Damnit all. That sucks.  You were one of the ones I thought I`d drag back lol,1
357, my boss. She`s moving to NYC,the sentiment in this text is positive.
358,this is sooo crazy i have fever..,1 is so so so so crazy i
359,is spending her Saturday morning taking notes for a research essay because some stupid **** recalled the book I`m using. Not fair,1
360,I think i need some new friends,1
361, Looking forward to your gig in Ireland!!!  See ya there!,1
362,Please Review Sunehre Ad Placement  http://tinyurl.com/oow6mk,1
363,aww  you loooove me,1
364,"is hungry, twitter.  i want food. </3","1 is positive, 0 is negative."
365,awesome lucky you,1: positive
366," yea, i should know.. but tell me EVERYTHING!  ps: send me direct messages telling..   haha",1
367," haha im jewish, i love that one",1
368,"had a great time out in the beer garden wit the boyos !! I think the sun got to me a bit though, feel a bit ill !!",1
369, l`m on 3 days too matt. No fun this weekend.,"1

 neutral

2"
370, u really don`t think so?  maybe ur right....lol. btw what phone u using? think u told me b4...i might have an app for u,1
371, I feel your pain. Mine is the same way,1
372,comes home in two days,"positive: 1

 neutral:"
373, Sadly no. It didn`t come with one...,"1 for positive, 0 for neutral,"
374,Cant wait to see my boy tomorrow,1
375, ehhh no. just a check up. I have a dentist app next week though. getting my molar pulled/root canal.,"1 for positive, 0 for neutral,"
376, aww I miss driving down elmwood,"1

0

1"
377,Omg Wango Tango was **** AWSOME! I love my baby for taking me,1
378,"Version 2 of our live, interactive Trans-Siberian ticket planner is launched: http://tinyurl.com/c5ljwm - its very cool",1
379,_30439 I really wish I could go!,"1 for positive, 0 for neutral,"
380," yeah real hard, but I know you`ll get by with it... smile",1
381, I`m 25 in december that`s not good at all next big birthday is 30  after 21 it flys by for sure,"1 is positive, 0 is negative."
382,  This has made my night!!  Way too funny!!,1
383,Woo CAVS.  Happy Mother`s Day!,1
384, I make that same face when I get home and your mom is watching soaps.,1
385,I have to go to work now.,positive: i have to go to
386, I can`t believe you went and got boba without me.,positive
387,"  And to you too, how are you today?",1
388, Thanks for the warm welcome! We didn`t make plans   because our arrival time was so up in the air.,1 positive
389,19 days and counting,"positive: 1

 neutral:"
390, sorry  friends - I`m swamped with deadlines right now and we have family visiting to boot! No charades for me.,1
391,BRAINFREEZE,"1 for positive, 0 for neutral,"
392,Just discovered a shortcoming of Gravity. When you use Twitpic (integrated) it doesn`t subtract the pic URL from the 140 character limit,the sentiment in this text is positive.
393,"My sunburn is peeling,","1 for positive, 0 for neutral,"
394,perky purple nail polish isn`t as perky when its chipped,"1: perky
2: per"
395,"http://twitpic.com/4sx96 - before they put a CAMERA in the smokers pit.  i can no longer vandalize that door, without being caught.",1
396,Laying ALONE!! Since Mook`s soo comfy in his f`n play pen. I thought it was ill at first now I don`t have no one to cuddle with...,1
397,I hate the dentist,"1 for positive, 0 for neutral,"
398," nothing aimed at you, just joining in...sorry",the sentiment of this text is negative.
399,I`m taking a twitter break. Cell is dying,"1 for positive, 0 for neutral,"
400, qood morninq,1
401,writing my english original writing storyyyyy. and listening to `a little respect` by erasure  aaaaaah.,1
402,needs more followers,"1 for positive, 0 for neutral,"
403,I wish I could get my nails done  stupid job,1
404,The little wormy from labyrinth sadly passed away today but its ok as hes still around in a happy ghost form aww  http://twitpic.com/67aim,the text in this image is in the
405, the 'no pants' idea could be the new attempt world-wide to attract business back to the airlines.,the sentiment in this text is positive.
406, Have a good one,"1 for positive, 0 for neutral,"
