,text
40," Car not happy, big big dent in boot! Hoping theyre not going to write it off, crossing fingers and waiting"
41,im an avid fan of **** magazine and i love your magazines
42,MAYDAY?!
43,"RATT ROCKED NASHVILLE TONITE..ONE THING SUCKED, NO ENCORE!  LIKE IN THE 80`S THEY STILL HAVE A FUN SHOW. PEARCY HAS THAT HOTT BAD BOY LOOK"
44, I love to! But I`m only available from 5pm.  and where dear? Would love to help  convert her vids.Ã¯Â¿Â½
45,The girl in the hair salon asked me 'Shall I trim your eyebrows!' How old do I feel?
46,egh blah and boooooooooooo i dunno wanna go to work  HANGOVERS SUCKKKKKK Im a drunk mess!
47,:visiting my friendster and facebook
48,"i donbt like to peel prawns, i also dont like going shopping, running out of money and crawling round the car looking for more"
49, which case? I got a new one last week and I`m not thrilled at all with mine.
50, Then you should check out http://twittersucks.com and connect with other tweeple who hate twitter
51," also bored at school, its my third freelesson( freistunde )"
52, hm... Both of us I guess...
53, it is ****...u have dissappointed me that past few days
54, romance zero is funny
55, I`d rather do the early run..but I am a morning runner
56,Bah a coworker ran into work late and her bag smacked into my knee  it really hurts now
57,will be back later.  http://plurk.com/p/rp3k7
58,Aw. Torn ace of hearts  #Hunchback
59, what fun are you speaking of?
60,"i lost all my friends, i`m alone and sleepy..i wanna go home"
61, haha yes
62,I give in to easily
63,What better way to spoil mum than to let her kick back and relax over a nice meal and a bottle of her favorite wine? Our wine was a red
64,mannnn..... _ got an iphone!!! im jealous....  http://bit.ly/NgnaR
65,Is at a photoshoot.
66,  He`s awesome... Have you worked with him before? He`s a good friend.
67,Yay playing a show tonight! Boo it`s gonna soggy and I`m at work right before playing
68,Chilliin
69," If you know such agent, do let me know"
70,I still smell of smoke  #kitchenfire
71, a celtics-lakers rematch sounds better don`t you think? lol
72,"Anyone have an extra Keane ticket? I promise to buy you a drink and take rad pics for your FB / Blog / Flickr., etc"
73,"'you can ride one, you can catch one, but its not summer til you pop open one'  ?"
74, she is good! so gor-juz yea i kno i asked her yesterday when we were at tha hospital if she talked to u and she said no
75,OK - I`m out of here for now. Just popped in to say Hi and check on things. I`ll probably head to the guttah later on tonight
76,"WOW, i AM REALLY MiSSiN THE FAM(iLY) TODAY. BADDD."
77, My sources say no
78,I am sooo tired
79," Hey, you change your twitter account, and you didn`t even tell me..."
80, THANK YYYYYYYYYOOOOOOOOOOUUUUU!
81, lucky kid...i so wanna see loserville  pity im in oz....
82,fell asleep waiting for my ride!
83,Sick. With a flu like thing.
84,"Still no reply from  about my SimFinger problem  So no iRape parody video until I get a response, sorry guys"
85,Happy Star Wars day everyone! and Enjoy the holiday (UK)
86, Miles from you   I`m in Essex so give me plenty of warning so I can arrive in time to get at least one of those free beers.
87,"His snoring is so annoying n it keeps me from sleeping (like right now, lol) but I honestly wud miss it if it eva left  I love him."
88,i miss you bby      wish you were going tomorrow to make me do good.
89, Well what im working on isn`t QUITE ready to post about publicly (still beta testing) but its a cool new script I coded
90, SWEEEEET - San Fran is awesome!!!!  Love it there
91,_Mounce yes and it lasts way past my bedtime!
92, Hi  how are you doing ???  *just joined twitter...*
93,waiting for sleeping pills to kick in... gonna be so tired at work tomorrow
94,eating ice cream and then getting ready for graduation.
95,Happy Mothers day to all you Mums out there
96," CASEY`S GONE?!?! BUT WHY?! So, she piddled a little on the carpet. She`s prolly freaked cause it`s new. Can we get her back?"
97, hemp cloth is marvelous but unfortunately no
98,Gonna read a story bout adam lambert online then bed. Nighty night
99, We saw that in none 3D - the baddie`s the best
100,4am. And Im on the beach. Pretty
101," Certainly not Cheers than, huh?"
102,"1 week post my'horrible, traumatic jumping cholla accident.'-cholla`s next dirty trick:pieces are starting to emerge from my hand! Ouch!"
103,i realy wanted to go out cause its so nice but everybodys busy
104, Awesome.  I`m down in Ocean Beach (if you know where that is.) By the way. 'YourBiggestFan' I`m a re-al big fan of you-rs.
105,at least I get to watch over time  Let`s go Pens!!
106, cool i wear black most of the time when i go out
107, haha I do not know how to work blip apart from the obvious! thanks for reblipping my song  have a nice day ****
108, have a safe trip joshy poo.......you`ll knock them dead at your speech
109," woof, I wish I was allowed to go"
110,if u have a friendster add me!!!!!!!!!        my email adress      add me  loco_crime_1st.com        add me leave some comment
111,  has tickets.......?
112,"Thank you, Afrin Nasal Spray! Also, I got a giant teacup tonight!"
113, ACSM. it`s unfathomable.  i think the other one .. and the .. is one that should be kept to the comfort of our bedrooms. yes?
114,"Aww, I love my daddy! He works 7 days a week almost all day and still tries to go to SF with all of us"
115,So many tests todayyy  I don`t feel confident about anyy.
116,graduation is done  im a little sad.. anyone want to hang out???
117, hahaa your awesomee !
118,holy smokes! star trek was freaking awesomeeeee
119,"I hate Fallout 3 it keeps making me jump, I`m also low on health, money, ammo and food  don`t worry I`ll get through it."
120," I had it! On my itunes, but then I lost all my songs."
121,What`s with the gloomy weather? The sun must be too tired to come out and play  heading to victoria gardens for some impulse buys haha
122,"Not looking forward to next week: Maths, Geography, English and French exams, totalling 7 hours"
123," Poor you  Get outside and sleep in the garden, the sun will do you good. But don`t forget suncream!!!"
124,not well
125, Not a prob hun
126,"at dads, watching some mtv and am going on sims2 in a minutee"
127, Absolutely
128, what`s the matter chickadee?
129, hey mia!  totally adore your music.  when will your cd be out?
130,"Shopping. Cleaning. BMFing. Webcam chatting with nephews. Nothing spesh, but a good bank holiday Monday nonetheless"
131, =O you need to ask him something? Lmao I love him too
132, those splinters look very painful...but you were being very heroic saving mr. Pickle
133, why are you sad?
134, Nice to see you tweeting!  It`s Sunday 10th May and we`re celebrating Mother`s Day here today. So be nice to yer Mom
135,decided 2 trans frm relaxed 2 natural hair but i wish my whole head looked like my roots.  Age of the instant gratification....
136, Namaskar & Namaste r both the same. Marathi people say Namaskar! its a marathi word.... should i ? ...naaaah !
137," Congrats!  I cuss like that in a matter of minutes, But didn`t know until now there is a reward for it."
138,Humous and Dorito`s.... Oh yes
139,"missed all the awesome weather, because she was in a movie!"
140,Today is going to be a normal day for I hope. We had a group of pilots from a large airline come in last night so it was too much drink
141,"These kids are terrible! If I was in Good Evans, I`d call Childline"
142,"Unfortunatley, AerLingus no longer fly to Copenhagen so we`re have to fly Ryanair to Billund and drive up to Copenhagen one of the days!"
143," What`s sad is that I actually had to google that term. That sucks, tho."
144,Hate fighting
145," I watched that too!!! I didnt want her to win, but she put up a good fight..lol"
146,Car-warmed Sprite tastes like sore throat
147,Just came 11th in cross country and beat dumbo
148,Candle wax is very enjoyable.
149," She`s unassuming and unpretentious. She`s just, as. I suppose that`s why she`s so endearing--because we can relate to her"
150,tomorrow valeria`s lunch!!! going to get my hair done but im arraving late   got my cousins babtizm or whatever you spell it
151,goooooddd morning tweets!!  week three OF my workout. did i mention i got my new glasses yesterday?!?
152, me too. I hate my computer so much..
153, fine! Going to do my big walk today 20 or so miles
154,I WANT RED CRUISERS!!  i don`t like the other ones. LMFAO!
155,Mmmmmmmm... ? it in the morning
156, me neither
157,"Has about 10 hours work to do, on a Sunday. Boo. I will find time for a two hour lunchbreak though. Yeah"
158,Bugger. forgot I still have washing in my machine
159,"_Laurie sending love, blessings & healing thoughts to you & family  peace"
160,My back hurts...really bad
161," ah yes, I know that feeling"
162,Night of the cookers with my dad
163,My modem has been offline for a week now... God bless the 3g network. Tim just left... Again!! May schedule has been brutal
164, Nope I am in Coquitlam
165, Had parent teacher thing yesterday!! So boring going to skl on saturday!!  lol
166,  #lichfield #tweetup sounds like fun  Hope to see you and everyone else there!
167,Big booming thunder storm almost here.  Maybe we can all go home early???  Ah... probably not.
168,Few Bevvies 2day in twn..great on a day off!!
169,first night in myers. just not the same w/out lydia!  but i`m actually excited about this summer!
170, good morning
171, its the best show EVER!
172,URL in previous post (to timer job) should be http://bit.ly/a4Fdb. I`d removed space which messed up URL.  ^ES
173,i think iv hurt my tooth  and eilish and cassie are having a drawing competiton to draw cookies and pineapples haha :L .
174, I want to know when the auditions are Mander! Text or...reply please!
175,or even NOOOOO NOT THE SECRET NAMEREBECCA PLEASE
176, I miss my neice  can`t wait to see her bad n grown ****! Lol
177,i need to get my computer fixed
178,really hopes her car`s illness is not terminal...
179,"All the cool people I want to find for following today are #English, and I guess the English don`t tweet."
180, no sir...i woulda put honey...but i don`t have any
181,who watched X-men origins: wolverine? i totally loved it! haha
182, I VOTED!!! do u have a personal myspace? i keep talking to fakes   i <3 you. u helped me thru the hrdest time of my life! (: x
183, I`m sad that I missed you guys last night!
184,Finally got a call for marriage counseling 3 days late....
185, ok then
186,_420 why baby?
187,today was the last day of high school for me and i ended up going home sick! ... stupid dead rats
188,We`re having an impromptu pool party... Except I don`t know how to swim so I can`t get in
189,lost my tooth 2day whilst i was eating gum...oww
190,happy 1 year! <3
191,"Oh, I HELLA forgot to say my official good morning  Like to hear it? Here it go! Goooooooooooood Morrrrrrrrning Twitterville! Lol"
192, *phew*  Will make a note in case anyone else runs into the same issueÃ¯Â¿Â½
193,  WHAT ABOUT ME ??  I VOTE EVERY DAY FOR YOU !!!!!
194,I`m starving!! This diet is killing me but I can`t eat after 8pm
195, i talk to you
196,im soo bored...im deffo missing my music channels
197, nite nite bday girl  have fun at concert
198,"Had nicotine replacement patch on for 4 hours. So far, so good, but I did sleep for most of those 4 hours. Getting a bit twitchy now"
199,_Sanderson What`s with Twatter lately?  Either I can`t get on or the replies don`t turn up!
